qN	qID	type	question	DRS-question	DRS-Ont-question	SPARQL-question	Result-question	template-id	SPARQL
1	Q0002	SINGLE_FACT	 "Which papers did the author Rodriguez, S. write?" 	dEntities=[ DEntity(X1, paper, papers, NOUN, which, 2, null),  DEntity(X2, author, author, NOUN, the, 5, null),  DEntity(X3, S., S., PROPN, null, 8, null),  DEntity(X4, write, write, VERB, null, 9, null)],  dConditions=[ DCondition(X1, has_text, paper, propriedades= [] --- []),  DCondition(X2, has_text, author, propriedades= [] --- []),  DCondition(X2, has_name, Rodriguez, propriedades= [] --- []),  DCondition(X3, has_name, S., propriedades= [] --- []),  DCondition(X4, has_text, write, propriedades= [] --- []),  DCondition(X4, obj, X1, propriedades= [] --- []),  DCondition(X4, subj, X2, propriedades= [] --- []),  DCondition(X4, subj, X3, propriedades= [] --- [])]	 dEntities=[ DEntity(X1, paper, papers, NOUN, which, null, Document),  DEntity(X2, author, author, NOUN, the, null, Person),  DEntity(X3, S., S., PROPN, null, null, Person),  DEntity(X4, write, write, VERB, null, null, Create),  DEntity(X5, null, null, null, null, null, Query),  DEntity(X6, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, paper, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, author, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_name, Rodriguez, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_name, S., propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_text, write, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X1, propriedades= [create_what] --- []),  DCondition(X4, subj, X2, propriedades= [who_create] --- []),  DCondition(X4, subj, X3, propriedades= [who_create] --- []),  DCondition(X5, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X6, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X6, has_name, which, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, obj, X1, propriedades= [select] --- []),  DCondition(X5, subj, X6, propriedades= [qQualifier] --- [])]  numEntitiesOk = 1   numPropsOk = 20  numEntitiesNOk = 0  numClassesOk = 3	SELECT  ?document1 WHERE {  ?document1 dblp:authoredBy ?person1 .  ?document1 dblp:authoredBy ?person2 .  ?person1 dblp:creatorName ?personName1 . ?person2 dblp:creatorName ?personName2 . filter (regex(?personName1,"Rodriguez","i")). filter (regex(?personName2,"S.","i")). }	3	TC01	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/04/6636> }" }
2	Q0004	SINGLE_FACT	 "Which publications did Neamati, D. author?" 	n.a.	n.a.	n.a.	0	TC01	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/304/4294> }" }
3	Q0012	SINGLE_FACT	 "What are the papers written by Omer L.?" 	dEntities=[ DEntity(X2, paper, papers, NOUN, the, 4, null),  DEntity(X3, write, written, VERB, null, 5, null),  DEntity(X4, Omer L.?, Omer, PROPN, null, 7, null)],  dConditions=[ DCondition(X2, has_text, paper, propriedades= [] --- []),  DCondition(X3, has_text, write, propriedades= [] --- []),  DCondition(X4, has_name, Omer L.?, propriedades= [] --- []),  DCondition(X2, what, true, propriedades= [] --- []),  DCondition(X3, nsubj:pass, X2, propriedades= [] --- []),  DCondition(X3, obl_by, X4, propriedades= [] --- [])]	dEntities=[ DEntity(X1, paper, papers, NOUN, the, null, Document),  DEntity(X2, write, written, VERB, null, null, Create),  DEntity(X3, Omer L.?, Omer, PROPN, null, null, Person),  DEntity(X4, null, null, null, null, null, Query),  DEntity(X5, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, paper, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, write, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_name, Omer L.?, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, what, true, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, nsubj:pass, X1, propriedades= [create_what] --- []),  DCondition(X2, obl_by, X3, propriedades= [who_create] --- []),  DCondition(X4, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X1, propriedades= [select] --- []),  DCondition(X4, subj, X5, propriedades= [qQualifier] --- [])]  numEntitiesOk = 1   numPropsOk = 16  numEntitiesNOk = 0  numClassesOk = 2]	SELECT ?document1 WHERE { ?document1 dblp:authoredBy ?person1 .  ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"Omer L.?","i")). }	3	TC01	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/93/5969> }" }
4	Q0026	SINGLE_FACT	 "What are the papers written by the person João Manuel R. S. Tavares?" 	dEntities=[ DEntity(X1, paper, papers, NOUN, the, 4, null),  DEntity(X2, write, written, VERB, null, 5, null),  DEntity(X3, person, person, NOUN, the, 8, null)],  dConditions=[ DCondition(X1, has_text, paper, propriedades= [] --- []),  DCondition(X2, has_text, write, propriedades= [] --- []),  DCondition(X3, has_text, person, propriedades= [] --- []),  DCondition(X3, has_name, João Manuel R. S. Tavares, propriedades= [] --- []),  DCondition(X1, what, true, propriedades= [] --- []),  DCondition(X2, nsubj:pass, X1, propriedades= [] --- []),  DCondition(X2, obl_by, X3, propriedades= [] --- [])]	dEntities=[ DEntity(X1, paper, papers, NOUN, the, null, Document),  DEntity(X2, write, written, VERB, null, null, Create),  DEntity(X3, person, person, NOUN, the, null, Person),  DEntity(X4, null, null, null, null, null, Query),  DEntity(X5, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, paper, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, write, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_text, person, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_name, João Manuel R. S. Tavares, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, what, true, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, nsubj:pass, X1, propriedades= [create_what] --- []),  DCondition(X2, obl_by, X3, propriedades= [who_create] --- []),  DCondition(X4, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X1, propriedades= [select] --- []),  DCondition(X4, subj, X5, propriedades= [qQualifier] --- [])]  numEntitiesOk = 1   numPropsOk = 16  numEntitiesNOk = 0  numClassesOk = 3]	SELECT ?document1 WHERE { ?document1 dblp:authoredBy ?person1 .  ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"João Manuel R. S. Tavares","i")). } "	4	TC01	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/t/JoaoManuelRSTavares> }" }
5	Q0091	SINGLE_FACT	 "What are the papers written by Matti O. Jokinen?" 	dEntities=[ DEntity(X2, paper, papers, NOUN, the, 4, null),  DEntity(X3, write, written, VERB, null, 5, null),  DEntity(X4, Matti O. Jokinen, Matti, PROPN, null, 7, null)],  dConditions=[ DCondition(X2, has_text, paper, propriedades= [] --- []),  DCondition(X3, has_text, write, propriedades= [] --- []),  DCondition(X4, has_name, Matti O. Jokinen, propriedades= [] --- []),  DCondition(X2, what, true, propriedades= [] --- []),  DCondition(X3, nsubj:pass, X2, propriedades= [] --- []),  DCondition(X3, obl_by, X4, propriedades= [] --- [])] 	dEntities=[ DEntity(X1, paper, papers, NOUN, the, null, Document),  DEntity(X2, write, written, VERB, null, null, Create),  DEntity(X3, Matti O. Jokinen, Matti, PROPN, null, null, Person),  DEntity(X4, null, null, null, null, null, Query),  DEntity(X5, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, paper, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, write, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_name, Matti O. Jokinen, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, what, true, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, nsubj:pass, X1, propriedades= [create_what] --- []),  DCondition(X2, obl_by, X3, propriedades= [who_create] --- []),  DCondition(X4, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X1, propriedades= [select] --- []),  DCondition(X4, subj, X5, propriedades= [qQualifier] --- [])]  numEntitiesOk = 1   numPropsOk = 16  numEntitiesNOk = 0  numClassesOk = 2]	SELECT ?document1 WHERE { ?document1 dblp:authoredBy ?person1 .  ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,""Matti O. Jokinen"",""i"")). } "	4	TC01	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/51/4130> }" }
6	Q0007	SINGLE_FACT	 "The author Sameh S. Askar is primarily affiliated to which institution?" 	dEntities=[ DEntity(X1, author, author, NOUN, the, 2, null),  DEntity(X3, affiliate, affiliated, VERB, null, 8, null),  DEntity(X4, institution, institution, NOUN, which, 11, null)],  dConditions=[ DCondition(X1, has_text, author, propriedades= [] --- []),  DCondition(X1, has_name, Sameh S. Askar, propriedades= [] --- []),  DCondition(X3, has_text, affiliate, propriedades= [] --- []),  DCondition(X4, has_text, institution, propriedades= [] --- []),  DCondition(X3, nsubj:pass, X1, propriedades= [] --- []),  DCondition(X3, mod, primarily, propriedades= [] --- []),  DCondition(X3, obl_to, X4, propriedades= [] --- [])]	dEntities=[ DEntity(X1, author, author, NOUN, the, null, Person),  DEntity(X2, affiliate, affiliated, VERB, null, null, Associate),  DEntity(X3, institution, institution, NOUN, which, null, ConceptPerson),  DEntity(X4, null, null, null, null, null, Query),  DEntity(X5, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, author, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, has_name, Sameh S. Askar, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, affiliate, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_text, institution, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X2, nsubj:pass, X1, propriedades= [assoc_Person] --- []),  DCondition(X2, mod, primarily, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, obl_to, X3, propriedades= [assoc_ConcPerson] --- []),  DCondition(X4, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_name, which, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X3, propriedades= [select] --- []),  DCondition(X4, subj, X5, propriedades= [qQualifier] --- [])]  numEntitiesOk = 0   numPropsOk = 12  numEntitiesNOk = 0  numClassesOk = 2]]	SELECT ?conceptPerson1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"Sameh S. Askar","i")). ?person1 ?prop1 ?conceptPerson1. filter (regex(?prop,"affiliation","i")). filter (regex(?prop,"primary","i")). } 	4	TC02	{ "sparql": "SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/141/4165> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer }" }
7	Q0037	SINGLE_FACT	 "Mention the primary affiliation of Khaled Salah." 	"dEntities=[ DEntity(X1, mention, Mention, VERB, null, 1, null),  DEntity(X2, affiliation, affiliation, NOUN, the, 4, null),  DEntity(X3, Khaled Salah, Khaled, PROPN, null, 6, null)],  dConditions=[ DCondition(X1, has_text, mention, propriedades= [] --- []),  DCondition(X2, has_text, affiliation, propriedades= [] --- []),  DCondition(X3, has_name, Khaled Salah, propriedades= [] --- []),  DCondition(X2, mod, primary, propriedades= [] --- []),  DCondition(X1, obj, X2, propriedades= [] --- []),  DCondition(X2, of, X3, propriedades= [] --- [])]"	dEntities=[ DEntity(X1, mention, Mention, VERB, null, null, Query),  DEntity(X2, affiliation, affiliation, NOUN, the, null, ConceptPerson),  DEntity(X3, Khaled Salah, Khaled, PROPN, null, null, Person),  DEntity(X4, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, mention, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, affiliation, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X3, has_name, Khaled Salah, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, mod, primary, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X1, obj, X2, propriedades= [select] --- []),  DCondition(X2, of, X3, propriedades= [conc_of_Person] --- []),  DCondition(X4, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_name, null, propriedades= [] --- []),  DCondition(X1, subj, X4, propriedades= [qQualifier] --- [])]  numEntitiesOk = 0   numPropsOk = 8  numEntitiesNOk = 0  numClassesOk = 2]	SELECT ?conceptPerson1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"  Khaled Salah","i")). ?person1 ?prop1 ?conceptPerson1. filter (regex(?prop,"affiliation","i")). filter (regex(?prop,"primary","i")). } 	4	TC02	{ "sparql": "SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/s/KhaledSalah> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer }" }
8	Q0049	SINGLE_FACT	 "What is the primary affiliation of the author Shengli W.?" 	dEntities=[ DEntity(X1, affiliation, affiliation, NOUN, the, 5, null),  DEntity(X2, author, author, NOUN, the, 8, null)],  dConditions=[ DCondition(X1, has_text, affiliation, propriedades= [] --- []),  DCondition(X2, has_text, author, propriedades= [] --- []),  DCondition(X2, has_name, Shengli W., propriedades= [] --- []),  DCondition(X1, mod, primary, propriedades= [] --- []),  DCondition(X1, what, true, propriedades= [] --- []),  DCondition(X1, of, X2, propriedades= [] --- [])]	dEntities=[ DEntity(X1, affiliation, affiliation, NOUN, the, null, ConceptPerson),  DEntity(X2, author, author, NOUN, the, null, Person),  DEntity(X3, null, null, null, null, null, Query),  DEntity(X4, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, affiliation, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X2, has_text, author, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_name, Shengli W., propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, mod, primary, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X1, what, true, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X1, of, X2, propriedades= [conc_of_Person] --- []),  DCondition(X3, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, obj, X1, propriedades= [select] --- []),  DCondition(X3, subj, X4, propriedades= [qQualifier] --- [])]	SELECT ?conceptPerson1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"  Shengli W.","i")). ?person1 ?prop1 ?conceptPerson1. filter (regex(?prop,"affiliation","i")). filter (regex(?prop,"primary","i")). } 	4	TC02	{ "sparql": "SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/ShengliWu> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer }" }
9	Q0065	SINGLE_FACT	 "János Pach is primarily affiliated to which institution?" 	dEntities=[ DEntity(X1, János Pach, János, PROPN, null, 1, null),  DEntity(X2, affiliate, affiliated, VERB, null, 5, null),  DEntity(X3, institution, institution, NOUN, which, 8, null)],  dConditions=[ DCondition(X1, has_name, János Pach, propriedades= [] --- []),  DCondition(X2, has_text, affiliate, propriedades= [] --- []),  DCondition(X3, has_text, institution, propriedades= [] --- []),  DCondition(X2, nsubj:pass, X1, propriedades= [] --- []),  DCondition(X2, mod, primarily, propriedades= [] --- []),  DCondition(X2, obl_to, X3, propriedades= [] --- [])]	dEntities=[ DEntity(X1, János Pach, János, PROPN, null, null, Person),  DEntity(X2, affiliate, affiliated, VERB, null, null, Associate),  DEntity(X3, institution, institution, NOUN, which, null, ConceptPerson),  DEntity(X4, null, null, null, null, null, Query),  DEntity(X5, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_name, János Pach, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, affiliate, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_text, institution, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X2, nsubj:pass, X1, propriedades= [assoc_Person] --- []),  DCondition(X2, mod, primarily, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, obl_to, X3, propriedades= [assoc_ConcPerson] --- []),  DCondition(X4, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_name, which, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X3, propriedades= [select] --- []),  DCondition(X4, subj, X5, propriedades= [qQualifier] --- [])]  numEntitiesOk = 0   numPropsOk = 12  numEntitiesNOk = 0  numClassesOk = 1]]	SELECT ?conceptPerson1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"János Pach","i")). ?person1 ?prop1 ?conceptPerson1. filter (regex(?prop,"affiliation","i")). filter (regex(?prop,"primary","i")). } 	4	TC02	{ "sparql": "SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/18/2119> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer }" }
10	Q0085	SINGLE_FACT	 "Zukerman, I. is primarily affiliated to which institution?" 	dEntities=[ DEntity(X1, Zukerman i., Zukerman, PROPN, null, 1, null),  DEntity(X2, affiliate, affiliated, VERB, null, 6, null),  DEntity(X3, institution, institution, NOUN, which, 9, null)],  dConditions=[ DCondition(X1, has_name, Zukerman i., propriedades= [] --- []),  DCondition(X2, has_text, affiliate, propriedades= [] --- []),  DCondition(X3, has_text, institution, propriedades= [] --- []),  DCondition(X2, nsubj:pass, X1, propriedades= [] --- []),  DCondition(X2, mod, primarily, propriedades= [] --- []),  DCondition(X2, obl_to, X3, propriedades= [] --- [])]	dEntities=[ DEntity(X1, Zukerman i., Zukerman, PROPN, null, null, Person),  DEntity(X2, affiliate, affiliated, VERB, null, null, Associate),  DEntity(X3, institution, institution, NOUN, which, null, ConceptPerson),  DEntity(X4, null, null, null, null, null, Query),  DEntity(X5, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_name, Zukerman i., propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, affiliate, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_text, institution, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X2, nsubj:pass, X1, propriedades= [assoc_Person] --- []),  DCondition(X2, mod, primarily, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, obl_to, X3, propriedades= [assoc_ConcPerson] --- []),  DCondition(X4, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_name, which, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X3, propriedades= [select] --- []),  DCondition(X4, subj, X5, propriedades= [qQualifier] --- [])]	SELECT ?conceptPerson1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"Zukerman i.","i")). ?person1 ?prop1 ?conceptPerson1. filter (regex(?prop,"affiliation","i")). filter (regex(?prop,"primary","i")). } 	4	TC02	{ "sparql": "SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/z/IngridZukerman> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer }" }
